player,player_num,position,height,weight,birthdate,country,experience,college,team_stat_ranking,age,games,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_percent,points3,points3_attempts,points3_percent,points2,points2_attempts,points2_percent,effective_field_goal_percent,free_throws,free_throw_attempts,free_throw_percent,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls,points,team_salary_ranking,salary,team
Al Horford,15,center,82,245,6/3/86,do,8,University of Florida,2,29,82,82,2631,529,1048,0.505,88,256,0.344,441,792,0.557,0.547,103,129,0.798,148,448,596,263,68,121,107,163,1249,2,12000000,ATL
Dennis Schroder,17,point guard,73,172,9/15/93,de,2,NA,7,22,80,6,1621,329,781,0.421,77,239,0.322,252,542,0.465,0.471,144,182,0.791,25,179,204,349,70,9,183,138,879,10,1763400,ATL
Jeff Teague,0,point guard,74,186,6/10/88,us,6,Wake Forest University,4,27,79,78,2255,434,988,0.439,110,275,0.4,324,713,0.454,0.495,261,312,0.837,33,181,214,470,97,24,218,167,1239,4,8000000,ATL
Justin Holiday,7,shooting guard,78,185,4/5/89,us,2,University of Washington,14,26,26,1,263,24,73,0.329,10,45,0.222,14,28,0.5,0.397,5,10,0.5,4,23,27,11,13,4,13,21,63,NA,NA,ATL
Kent Bazemore,24,small forward,77,201,7/1/89,us,3,Old Dominion University,5,26,75,68,2083,320,725,0.441,109,305,0.357,211,420,0.502,0.517,123,151,0.815,28,351,379,171,98,38,138,176,872,9,2000000,ATL
Kirk Hinrich,12,point guard,76,190,1/2/81,us,12,University of Kansas,16,35,11,0,76,2,11,0.182,1,6,0.167,1,5,0.2,0.227,0,0,NA,1,11,12,14,2,1,3,1,5,8,2870000,ATL
Kris Humphries,43,power forward,81,235,2/6/85,us,11,University of Minnesota,13,30,21,0,295,47,101,0.465,8,31,0.258,39,70,0.557,0.505,32,45,0.711,20,51,71,13,10,7,14,44,134,15,388025,ATL
Kyle Korver,26,shooting guard,79,212,3/17/81,us,12,Creighton University,3,34,80,80,2401,268,616,0.435,158,397,0.398,110,219,0.502,0.563,45,54,0.833,14,246,260,164,60,35,98,161,739,5,5746479,ATL
Lamar Patterson,13,shooting guard,77,225,8/12/91,us,0,University of Pittsburgh,12,24,35,0,395,28,80,0.35,12,49,0.245,16,31,0.516,0.425,16,22,0.727,4,46,50,39,9,2,23,45,84,14,525093,ATL
Mike Muscala,31,center,83,240,7/1/91,us,2,Bucknell University,11,24,60,0,565,76,152,0.5,12,39,0.308,64,113,0.566,0.539,31,39,0.795,38,79,117,34,13,27,27,72,195,13,947276,ATL
Mike Scott,32,power forward,80,237,7/16/88,us,3,University of Virginia,8,27,75,0,1146,176,376,0.468,62,158,0.392,114,218,0.523,0.551,50,63,0.794,53,153,206,78,25,17,42,102,464,7,3333333,ATL
Paul Millsap,4,power forward,80,246,2/10/85,us,9,Louisiana Tech University,1,30,81,81,2647,501,1066,0.47,74,232,0.319,427,834,0.512,0.505,309,408,0.757,198,534,732,265,147,139,191,237,1385,1,19000000,ATL
Shelvin Mack,8,point guard,75,203,4/22/90,us,4,Butler University,15,25,24,0,179,40,95,0.421,4,27,0.148,36,68,0.529,0.442,9,12,0.75,2,20,22,38,8,0,14,7,93,NA,NA,ATL
Thabo Sefolosha,25,small forward,79,220,5/2/84,ch,9,NA,6,31,75,11,1758,188,372,0.505,42,124,0.339,146,248,0.589,0.562,62,99,0.626,52,282,334,107,85,37,68,109,480,6,4000000,ATL
Tiago Splitter,11,center,83,245,1/1/85,br,5,NA,10,31,36,2,579,81,155,0.523,0,2,0,81,153,0.529,0.523,39,48,0.813,45,75,120,30,20,12,24,71,201,3,8500000,ATL
Tim Hardaway,10,shooting guard,78,205,3/16/92,us,2,University of Michigan,9,23,51,1,864,114,265,0.43,48,142,0.338,66,123,0.537,0.521,50,56,0.893,7,79,86,51,21,7,23,48,326,11,1304520,ATL
Walter Tavares,22,center,87,260,3/22/92,cv,0,NA,17,23,11,0,73,11,19,0.579,0,0,NA,11,19,0.579,0.579,3,8,0.375,7,14,21,3,1,6,5,8,25,12,1000000,ATL
Amir Johnson,90,power forward,81,240,5/1/87,us,10,NA,6,28,79,76,1800,249,426,0.585,10,43,0.233,239,383,0.624,0.596,69,121,0.57,178,327,505,138,52,83,94,214,577,2,12000000,BOS
Avery Bradley,0,shooting guard,74,180,11/26/90,us,5,University of Texas at Austin,2,25,76,72,2536,456,1019,0.447,147,407,0.361,309,612,0.505,0.52,96,123,0.78,48,172,220,158,117,19,109,164,1155,3,7730337,BOS
Coty Clarke,63,small forward,79,232,7/4/92,us,0,University of Arkansas,16,23,3,0,6,2,4,0.5,2,2,1,0,2,0,0.75,0,0,NA,0,1,1,0,0,0,1,0,6,18,61776,BOS
David Lee,42,power forward,81,245,4/29/83,us,10,University of Florida,11,32,30,4,470,87,192,0.453,0,1,0,87,191,0.455,0.453,40,51,0.784,41,89,130,54,12,13,38,51,214,1,15493680,BOS
Evan Turner,11,shooting guard,79,220,10/27/88,us,5,Ohio State University,4,27,81,12,2271,343,753,0.456,20,83,0.241,323,670,0.482,0.469,148,179,0.827,50,347,397,359,80,28,169,139,854,8,3425510,BOS
Isaiah Thomas,4,point guard,69,185,2/7/89,us,4,University of Washington,1,26,82,79,2644,591,1382,0.428,167,465,0.359,424,917,0.462,0.488,474,544,0.871,46,197,243,509,91,9,220,167,1823,4,6912869,BOS
Jae Crowder,99,small forward,78,235,7/6/90,us,3,Marquette University,3,25,73,73,2308,360,813,0.443,122,363,0.336,238,450,0.529,0.518,196,239,0.82,70,303,373,135,126,35,83,198,1038,5,6000000,BOS
James Young,13,shooting guard,78,215,8/16/95,us,1,University of Kentucky,14,20,29,0,199,11,36,0.306,6,26,0.231,5,10,0.5,0.389,1,4,0.25,4,22,26,9,6,1,5,17,29,15,1749840,BOS
Jared Sullinger,7,power forward,81,260,3/4/92,us,3,Ohio State University,5,23,81,73,1915,351,806,0.435,29,103,0.282,322,703,0.458,0.453,103,161,0.64,194,479,673,187,75,47,102,209,834,10,2269260,BOS
Jonas Jerebko,8,power forward,82,231,3/2/87,se,5,NA,9,28,78,0,1176,118,286,0.413,43,108,0.398,75,178,0.421,0.488,61,78,0.782,77,211,288,62,20,24,52,137,340,6,5000000,BOS
Jordan Mickey,55,power forward,80,235,7/9/94,us,0,Louisiana State University,15,21,16,0,57,8,22,0.364,0,0,NA,8,22,0.364,0.364,5,10,0.5,6,7,13,1,0,11,1,5,21,16,1200000,BOS
Kelly Olynyk,41,center,84,238,4/19/91,ca,2,Gonzaga University,8,24,69,8,1395,253,556,0.455,85,210,0.405,168,346,0.486,0.531,96,128,0.75,72,209,281,105,52,33,74,163,687,11,2165160,BOS
Marcus Smart,36,point guard,76,220,3/6/94,us,1,Oklahoma State University,7,21,61,10,1667,184,529,0.348,61,241,0.253,123,288,0.427,0.405,129,166,0.777,76,179,255,185,91,18,80,183,558,7,3431040,BOS
R.J. Hunter,28,shooting guard,77,185,10/24/93,us,0,Georgia State University,12,22,36,0,315,36,98,0.367,19,63,0.302,17,35,0.486,0.464,6,7,0.857,2,35,37,13,14,4,11,29,97,17,1148640,BOS
Terry Rozier,12,point guard,74,190,3/17/94,us,0,University of Louisville,13,21,39,0,311,29,106,0.274,6,27,0.222,23,79,0.291,0.302,8,10,0.8,24,39,63,37,6,1,19,23,72,14,1824360,BOS
Tyler Zeller,44,center,84,253,1/17/90,us,3,University of North Carolina,10,26,60,3,710,138,290,0.476,0,0,NA,138,290,0.476,0.476,88,108,0.815,62,116,178,29,10,22,46,97,364,9,2616975,BOS
