Question 206,Question 207,Question 208,Q183,Q188,97,98,99,100,101,102,103,104,105,164
0,2,6,2001,2,4,3,3,3,3,3,3,3,3,3
N/A,40,60,2000,2,3,2,2,1,1,2,2,2,3,5
3,20,1.5,2002,2,4,3,3,3,3,2,4,3,3,5
0,18,94,1999,2,3,3,3,3,3,3,3,3,3,5
10,5,40,2002,2,1,2,2,2,1,1,2,2,3,3
3,15,8,2001,2,4,4,4,4,4,3,3,4,3,2
N/A,10,6,2001,2,4,4,4,4,4,4,4,4,4,4
5,15,5,2001,2,3,3,2,3,4,3,3,2,2,5
N/A,20,25,2001,2,3,4,4,2,3,3,2,3,3,4
5,13,13,2001,2,3,4,4,4,4,4,4,4,3,2
0,10,5,2001,2,4,4,3,4,4,4,4,4,4,4
0,20,3,2002,2,3,4,4,3,3,3,3,3,3,3
1,2,40,2001,2,2,4,3,2,3,2,3,3,3,2
10,10,10,2000,2,4,4,4,4,4,4,3,2,3,4
1,9,18,2001,2,2,4,4,3,4,3,4,4,4,4
0,6,30,1998,1,2,4,3,1,2,3,3,3,3,1
5,6,7,2000,2,4,4,4,4,3,4,4,4,4,4
10,5,7,2000,2,3,4,4,4,3,3,3,3,3,1
1,6,10,2001,1,4,4,3,4,3,3,4,4,4,2
2,10,9,2002,1,3,4,4,3,3,2,3,3,3,5
2.5,4,3,2001,2,3,3,3,2,3,2,2,3,2,2
5,3,10,2001,1,3,3,2,2,3,3,3,3,3,3
0,20,40,1999,1,3,3,3,1,3,4,3,3,4,4
N/A,9,8,2000,2,3,4,4,3,3,3,4,3,2,4
4,2,8,2000,2,4,4,4,3,4,4,4,4,4,4
N/A,10,36,2001,2,3,3,2,2,2,2,3,2,2,3
5,5,10,2000,2,2,3,3,3,3,2,1,3,1,4
0,22,28,2001,1,3,4,4,3,2,4,3,3,2,4
1,20,1,,2,3,4,2,2,3,4,4,4,2,2
2,4,20,2000,2,3,3,3,2,3,2,2,2,3,5
1,10,27,2000,2,2,3,3,2,3,2,3,3,2,4
0,5,15,2019,1,3,3,3,2,3,2,3,3,3,2
2,7,13,1999,2,3,4,3,3,3,3,2,2,3,4
2,10,10,2001,2,4,4,4,4,4,4,4,4,4,4
N/A,14,14,2001,2,3,4,4,4,4,4,4,4,3,3
0,5,20,2002,2,3,3,3,3,3,3,3,2,3,5
2,10,17,2002,2,3,3,3,2,2,3,2,3,3,4
21,25,3,2001,1,4,4,3,4,4,3,4,4,4,4
0,8,8,2001,2,3,4,4,4,4,3,3,4,4,4
0,5,7,2000,1,3,3,4,4,3,4,4,3,3,3
0,5.5,4.5,1999,2,2,3,3,1,3,2,2,3,1,3
2,15,30,2001,2,1,3,2,1,3,1,2,3,1,4
0,10,8,2001,2,4,4,4,4,4,4,4,4,4,3
5,4,3,2000,2,,,,,,,,,,
5,1,10,2000,2,4,4,3,3,4,2,3,3,3,3
0,4,75,2000,1,3,4,3,3,3,3,3,3,3,2
1,3,5,2001,2,3,3,3,3,3,3,3,3,3,4
2,5,5,2001,2,3,3,3,3,3,3,3,3,3,3
5,10,10,2001,2,3,4,4,2,3,3,4,4,3,4
3,10,22,2001,2,3,3,3,2,3,2,3,3,2,4
10,4.5,21,2002,2,3,4,4,2,3,3,3,4,3,1
N/A,N/A,N/A,2001,2,,,,,,,,,,
0,6,20,2001,2,1,2,2,1,2,2,2,2,1,2
N/A,20,15,2000,1,3,4,3,3,3,3,3,3,3,3
1,1,10,2002,1,2,2,2,2,2,2,1,2,2,2
10,20,30,2000,2,3,3,2,2,3,2,3,3,3,3
1,1,5,2000,2,4,4,3,3,4,4,3,3,3,4
1,4,2,1999,1,2,3,1,2,2,3,2,3,3,1
3,2,6,2002,2,2,2,2,1,2,2,2,2,1,4
N/A,15,20,2000,2,1,3,4,4,2,2,3,2,1,2
N/A,9,2,2001,2,4,4,4,3,4,4,3,4,3,4
N/A,5,10,2001,2,2,4,4,2,3,2,3,4,4,3
0,12,30,2001,2,2,2,2,2,3,2,2,1,2,3
6,10,8,2000,2,3,3,3,3,3,3,4,3,3,3
N/A,24,16,1999,2,4,4,3,3,4,4,3,4,4,4
2,3,4,2001,2,1,2,1,1,2,2,1,2,3,2
N/A,8,20,2002,2,2,2,2,2,3,2,2,2,3,5
0,10,20,2002,2,3,2,2,1,3,1,2,2,2,5
N/A,25,14,2000,2,3,4,4,3,4,3,4,4,3,3
N/A,4,16,2001,2,3,4,4,3,4,4,4,4,4,3
1,1,3,2001,2,3,3,3,2,3,3,3,3,3,2
4,7,25,1999,2,3,3,3,2,3,2,3,2,1,2
N/A,30,10,2001,2,4,3,2,1,2,3,3,2,2,3
5,20,10,2002,2,3,3,3,3,3,3,3,3,3,4
N/A,15,11,2002,2,3,3,3,3,2,3,3,3,2,3
N/A,15,11,2001,2,4,4,3,4,4,4,4,4,3,2
5,10,15,2000,2,3,3,3,3,3,3,3,4,3,4
0,15,5,2001,2,3,4,4,3,3,2,4,3,4,5
n/a,12,40,2000,2,2,3,3,1,3,3,3,2,2,4
0.9,4,24,1999,1,3,4,4,4,4,4,4,3,3,3
1,4,10,2000,2,3,4,4,3,4,3,4,3,4,3
n/a,60,15,2001,2,4,4,4,3,3,4,3,3,4,3
3,10,8,2000,2,3,3,2,3,3,3,2,3,3,4
n/a,3,21,2000,2,3,3,3,3,3,3,3,3,3,5
0,15,15,2001,2,1,3,2,3,3,2,1,1,2,4
2,2,8,1998,1,3,4,4,3,2,4,4,3,3,2
4,4,12,1999,2,1,3,1,3,3,1,4,1,3,2
8,5,10,2000,2,3,3,3,2,2,2,2,3,3,5
1,20,15,1995,2,3,3,2,1,2,3,3,3,3,3
12,8,10,2000,2,1,2,3,3,2,1,1,1,3,3
2,4,5,2001,2,3,3,4,4,3,3,4,3,4,4
2,12,24,2001,2,3,3,3,3,3,3,2,3,3,4
n/a,3,10,2001,2,3,3,3,2,3,2,3,3,3,4
4,10,31,2000,2,3,4,4,3,3,3,3,3,4,4
2,6,36,1999,2,3,3,3,2,3,2,3,3,3,4
1,6,10,2002,2,2,3,3,2,3,2,2,2,3,3
4,5,7,2000,2,3,3,2,1,3,2,1,1,3,2
5,20,20,2000,2,4,4,4,4,4,4,4,4,4,4
4,15,12,1999,1,4,3,2,4,1,1,1,2,1,4
3,5,10,2001,2,2,3,3,3,2,2,3,1,2,3
1,2,10,2000,1,4,3,4,4,3,3,3,2,2,2
n/a,10,10,1999,2,3,2,1,3,1,1,2,2,3,5
n/a,5,5,2001,1,3,3,3,3,3,3,2,3,3,3
5,6,8,2001,2,3,4,4,2,3,3,3,4,3,4
n/a,8,40,2001,2,3,4,4,3,4,4,4,4,3,3
n/a,21,25,1999,2,3,3,3,3,2,2,2,3,3,4
1,4,30,2000,2,3,3,2,3,3,2,3,2,2,4
5,3,4,1999,2,3,3,3,1,2,2,3,2,3,5
1,1,6,2001,1,2,4,2,2,3,3,3,3,1,4
3,8,8,2001,1,4,3,4,4,4,4,4,3,4,3
2,15,20,2002,2,2,3,3,3,1,2,2,3,2,3
1,6,10,1999,1,3,3,1,3,3,1,2,3,2,2
1,14,9,2001,1,4,4,4,4,4,4,4,4,4,2
N/A,16,5,2001,2,2,2,2,3,2,1,3,2,2,4
11,60,72,2002,1,3,4,3,3,3,3,4,4,3,5
1,1,5,2001,2,1,3,3,2,2,2,1,2,1,4
4,8,25,2002,2,3,4,4,2,3,3,3,3,3,4
N/A,10,50,2000,1,1,1,1,2,1,1,3,1,1,2
N/A,0,21,1999,1,3,4,3,3,3,3,3,3,3,2
15,N/A,20,2002,2,3,3,2,2,3,3,3,3,3,4
2,8,50,2001,2,2,3,2,2,2,2,2,3,3,1
N/A,22,3,2001,1,4,3,3,4,3,3,3,4,3,2
N/A,22,3,2002,2,2,3,3,3,3,3,3,3,3,4
N/A,N/A,N/A,1998,1,3,4,4,4,3,4,4,4,3,2
3,6,4,2000,2,4,4,4,3,3,3,3,4,4,4
3,8,10,1998,2,2,3,3,2,2,2,2,3,2,3
2,30,20,2002,2,2,3,3,2,3,3,3,3,3,1
10,12,20,2000,2,4,4,4,4,4,4,4,4,3,4
1,9,45,1999,1,3,3,2,4,3,4,3,3,4,2
3,50,30,2000,1,3,3,3,3,3,3,3,3,3,3
10,3,40,2009,2,1,3,3,2,3,2,3,2,1,4
2,4,12,2001,2,1,3,2,1,2,3,1,1,2,3
3,4,16,2000,2,3,3,3,3,3,3,3,3,3,5
N/A,10,20,,,,,,,,,,,,
